M/Z,Intensity
145.61579,12.653596
145.86662,12.843145
146.11767,13.676455
146.36894,13.274512
146.62044,13.042493
146.87215,13.509794
147.12409,13.30719
147.37625,13.13399
147.62863,13.218959
147.88123,13.679734
148.13405,13.76143
148.38709,13.225494
148.64036,12.973859
148.89385,12.888897
149.14756,13.408492
149.40149,13.552283
149.65564,13.310459
149.91001,13.205893
150.16461,13.852922
150.41943,13.150329
150.67447,12.634
150.92973,13.081695
151.18521,13.173195
151.44091,12.767982
151.69683,12.892159
151.95298,13.189522
152.20935,12.045782
152.46594,12.941168
152.72275,13.300634
152.97978,12.385636
153.23704,12.496727
153.49451,12.2974
153.75221,13.032664
154.01013,12.696082
154.26827,12.571891
154.52663,12.137264
154.78522,12.336597
155.04402,12.254913
155.30305,12.885603
155.5623,12.398697
155.82177,12.163406
156.08146,12.401954
156.34137,12.254917
156.6015,13.049
156.86186,12.624182
157.12244,12.143801
157.38324,12.29085
157.64426,12.473846
157.9055,12.003279
158.16696,12.218942
158.42865,11.725499
158.69056,11.751638
158.95269,12.026142
159.21504,12.189534
159.47761,11.826816
159.7404,12.532662
160.00342,12.218963
160.26665,12.428093
160.53011,11.986944
160.79379,12.490181
161.05769,12.104588
161.32181,12.470581
161.58616,12.41176
161.85072,12.091509
162.11551,12.071903
162.38052,12.522865
162.64575,12.369292
162.9112,12.849652
163.17688,12.16016
163.44277,13.088214
163.70889,12.843134
163.97523,12.421574
164.24179,12.284316
164.50857,12.258179
164.77557,12.70261
165.0428,12.892153
165.31024,12.866021
165.57791,13.258165
165.8458,13.408508
166.11391,14.15032
166.38224,14.562066
166.6508,13.663423
166.91957,13.970588
167.18857,14.297382
167.45779,14.457508
167.72723,14.189539
167.99689,13.784325
168.26677,13.954236
168.53688,13.486925
168.80721,12.856235
169.07775,13.50978
169.34852,12.977127
169.61952,12.614405
169.89073,13.532653
170.16216,13.098053
170.43382,13.31045
170.7057,13.173208
170.97779,13.323529
171.25012,13.490185
171.52266,13.104576
171.79542,12.774531
172.06841,13.460764
172.34161,13.140534
172.61504,13.33987
172.88869,13.571894
173.16256,13.718946
173.43666,13.513081
173.71097,13.712431
173.98551,14.499968
174.26027,13.820284
174.53525,14.176451
174.81045,13.663423
175.08587,14.205854
175.36151,13.451008
175.63738,13.911747
175.91347,13.571892
176.18977,13.058862
176.46631,14.215656
176.74306,14.065345
177.02003,13.274522
177.29723,12.986924
